來源網址,卡號,稀有度,卡片名稱,類型,等級,力量,Trigger,顏色,Cost,Soul,特徵,效果說明
https://yuyu-tei.jp/sell/ws/card/thp/10037,THP/S130-T02,TD,西行寺幽々子   （サイギョウジユユコ）,キャラ,0,1000,0,黄色,0,1,"幻想郷, 白玉楼","【自】 あなたのCXフェイズの始めに、あなたは自分の「魂魄妖夢」を1枚選び、そのターン中、パワーを＋3000し、ソウルを＋1し、次の能力を与える。『【自】［(1)］ このカードがアタックした時、あなたはコストを払ってよい。そうしたら、そのアタック中、あなたはトリガーステップにトリガーチェックを2回行う。』
【自】 絆／「魂魄妖夢」 ［手札を1枚控え室に置く］ （このカードが、手札から舞台またはプレイされて舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の控え室の「魂魄妖夢」を1枚選び、手札に戻す）"
https://yuyu-tei.jp/sell/ws/card/thp/10038,THP/S130-T03,TD,東風谷早苗   （コチヤサナエ）,キャラ,0,1000,0,黄色,0,1,"幻想郷, 守矢神社","【永】 あなたのストックが3枚以下なら、このカードのパワーを＋2000。
【自】 相手のアタックフェイズの始めに、あなたはこのカードを前列のキャラのいない枠に動かしてよい。"
https://yuyu-tei.jp/sell/ws/card/thp/10039,THP/S130-T04,TD,古明地こいし   （コメイジコイシ）,キャラ,0,1500,0,黄色,0,1,"幻想郷, 地霊殿","【自】 このカードが手札から舞台に置かれた時、あなたは自分の《幻想郷》のキャラを1枚選び、そのターン中、パワーを＋1500。
【自】［(1) 手札のCXを1枚控え室に置く］ このカードが手札から舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の控え室のCXを1枚選び、手札に戻す。"
https://yuyu-tei.jp/sell/ws/card/thp/10040,THP/S130-T05,TD,魂魄妖夢   （コンパクヨウム）,キャラ,0,3000,0,黄色,0,1,"幻想郷, 白玉楼",-
https://yuyu-tei.jp/sell/ws/card/thp/10041,THP/S130-T06,TD,霧雨魔理沙   （キリサメマリサ）,キャラ,1,2500,1,黄色,0,1,"幻想郷, 魔法の森","【永】 あなたのターン中、あなたのキャラすべてが《幻想郷》なら、このカードのパワーを＋4000。
【自】【CXコンボ】 このカードがアタックした時、CX置場に「恋符「マスタースパーク」」があり、他のあなたのキャラがいるなら、あなたは自分の山札を上から3枚まで公開し、《幻想郷》のキャラかイベントを1枚まで選び、手札に加え、残りのカードを山札の上に好きな順番で置く。この効果で公開されたカードにCXがあるなら、あなたは1枚引いてよい。そうしたら、あなたは自分の手札を1枚選び、控え室に置く。"
https://yuyu-tei.jp/sell/ws/card/thp/10042,THP/S130-T07,TD,古明地さとり   （コメイジサトリ）,キャラ,1,2500,1,黄色,0,1,"幻想郷, 地霊殿","【永】 あなたのターン中、このカードのパワーを＋3000。
【自】 このカードのバトル相手が【リバース】した時、あなたはそのキャラをストック置場に置いてよい。そうしたら、あなたは相手のストックの下から1枚を、控え室に置く。"
https://yuyu-tei.jp/sell/ws/card/thp/10043,THP/S130-T08,TD,日焼けしたチルノ   （ヒヤケシタチルノ）,キャラ,1,4000,0,黄色,0,1,"幻想郷, 霧の湖","【自】 このカードが手札から舞台に置かれた時、あなたは自分の《幻想郷》のキャラを1枚選び、そのターン中、パワーを＋1500。
【自】［(1) 他のあなたの舞台の《幻想郷》のキャラを1枚控え室に置く］ このカードが手札から舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の控え室のキャラを1枚選び、手札に戻す。"
https://yuyu-tei.jp/sell/ws/card/thp/10044,THP/S130-T09,TD,アリス・マーガトロイド   （アリス・マーガトロイド）,キャラ,2,4000,1,黄色,1,1,"幻想郷, 魔法の森","【永】 応援 このカードの前のあなたのキャラすべてに、パワーを＋Ｘ。Ｘはそのキャラのレベル×500に等しい。
【自】 あなたのトリガーアイコンにがあるカードがトリガーした時、あなたは自分の《幻想郷》のキャラを1枚選び、そのターン中、パワーを＋2000。"
https://yuyu-tei.jp/sell/ws/card/thp/10045,THP/S130-T10,TD,藤原妹紅   （フジワラノモコウ）,キャラ,2,6000,1,黄色,1,1,"幻想郷, 迷いの竹林","【永】 あなたのキャラすべてが《幻想郷》なら、このカードのパワーを＋4000。
【自】 アンコール ［手札の《幻想郷》のキャラを1枚控え室に置く］ （このカードが舞台から控え室に置かれた時、あなたはコストを払ってよい。そうしたら、このカードがいた枠に【レスト】して置く）"
https://yuyu-tei.jp/sell/ws/card/thp/10046,THP/S130-T11,TD,恋符「マスタースパーク」   （コイフ「マスタースパーク」）,クライマックス,,,I,黄色,,,,"【永】 あなたのキャラすべてに、パワーを＋1000し、ソウルを＋1。
（：このカードがトリガーした時、あなたは自分の控え室のトリガーアイコンにがあるキャラを1枚選び、手札に戻すかストック置場に置いてよい）"
https://yuyu-tei.jp/sell/ws/card/thp/10047,THP/S130-T12,TD,比那名居天子   （ヒナナヰテンシ）,キャラ,0,500,0,赤色,0,1,"幻想郷, 天界","【永】 あなたのターン中、他のあなたの《幻想郷》のキャラすべてに、パワーを＋500。
【起】 集中 ［(1) このカードを【レスト】する］ あなたは自分の山札の上から5枚をめくり、控え室に置く。それらのカードのCX1枚につき、あなたは1枚まで引く。"
https://yuyu-tei.jp/sell/ws/card/thp/10048,THP/S130-T13,TD,レミリア・スカーレット   （レミリア・スカーレット）,キャラ,0,1000,0,赤色,0,1,"幻想郷, 紅魔館","【自】 このカードが手札から舞台に置かれた時、あなたは自分の山札を上から2枚まで見て、山札の上に好きな順番で置く。
【自】 このカードが【リバース】した時、このカードのバトル相手のレベルが0以下なら、あなたはそのキャラを【リバース】してよい。"
https://yuyu-tei.jp/sell/ws/card/thp/10049,THP/S130-T14,TD,秦こころ   （ハタノココロ）,キャラ,0,1500,0,赤色,0,1,"幻想郷, 面霊気","【永】 他のあなたの《幻想郷》のキャラすべてに、パワーを＋500。
【自】［(1) 手札を1枚控え室に置く］ このカードが手札から舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の山札を見て《幻想郷》のキャラを1枚まで選んで相手に見せ、手札に加え、その山札をシャッフルする。"
https://yuyu-tei.jp/sell/ws/card/thp/10050,THP/S130-T15,TD,十六夜咲夜   （イザヨイサクヤ）,キャラ,0,2000,0,赤色,0,1,"幻想郷, 紅魔館","【自】 このカードが手札から舞台に置かれた時、そのターン中、このカードのパワーを＋1500。
【自】 このカードが舞台から控え室に置かれた時、あなたは自分の山札の上から3枚までを、公開してよい。1枚以上公開したなら、あなたはそれらのカードの《幻想郷》のキャラを1枚まで選び、手札に加え、残りのカードを控え室に置き、自分の手札を1枚選び、控え室に置く。"
https://yuyu-tei.jp/sell/ws/card/thp/10051,THP/S130-T16,TD,伊吹萃香   （イブキスイカ）,キャラ,1,2000,1,赤色,0,1,"幻想郷, 妖怪の山","【永】 このカードと同じカード名のカードは、デッキに好きな枚数入れることができる。
【永】 他のあなたの「伊吹萃香」1枚につき、このカードのパワーを＋2000。"
https://yuyu-tei.jp/sell/ws/card/thp/10052,THP/S130-T17,TD,射命丸文   （シャメイマルアヤ）,キャラ,2,2500,1,赤色,1,1,"幻想郷, 妖怪の山","【自】 あなたがこのカードの『助太刀』を使った時、あなたは自分のバトル中のキャラを1枚選び、そのターン中、次の能力を与える。『【自】 このカードのバトル相手が【リバース】した時、あなたはそのキャラを思い出にする。』
【起】【カウンター】 助太刀3000 レベル2 ［(1) 手札のこのカードを控え室に置く］ （あなたは自分のフロントアタックされているキャラを1枚選び、そのターン中、パワーを＋3000）"
https://yuyu-tei.jp/sell/ws/card/thp/10053,THP/S130-T18,TD,博麗霊夢   （ハクレイレイム）,キャラ,3,10000,1,赤色,2,2,"幻想郷, 博麗神社","【自】 このカードが手札から舞台に置かれた時、あなたは自分のクロックの上から1枚を、控え室に置いてよい。
【自】【CXコンボ】［(1) 手札を1枚控え室に置く］ このカードがアタックした時、CX置場に「霊符「夢想封印」」があり、他のあなたの《幻想郷》のキャラがいるなら、あなたはコストを払ってよい。そうしたら、そのターン中、このカードのソウルを＋1し、このカードは次の能力を得る。『【自】【ターン2】 このカードの与えたダメージがキャンセルされた時、あなたは相手に2ダメージを与えてよい。』（ダメージキャンセルは発生する）"
https://yuyu-tei.jp/sell/ws/card/thp/10054,THP/S130-T19,TD,フランドール・スカーレット   （フランドール・スカーレット）,キャラ,3,10000,1,赤色,2,2,"幻想郷, 紅魔館","【永】 あなたのキャラすべてが《幻想郷》なら、このカードは次の能力を得る。『【自】 このカードのバトル相手が【リバース】した時、あなたはそのキャラを山札の上に置いてよい。』
【自】 このカードが手札から舞台に置かれた時、あなたは自分の手札の自分のレベル以下のレベルのキャラを1枚まで選び、舞台の好きな枠に置き、そのターン中、このカードのパワーを＋2000。"
https://yuyu-tei.jp/sell/ws/card/thp/10055,THP/S130-T20,TD,八雲紫   （ヤクモユカリ）,キャラ,3,10000,1,赤色,2,2,"幻想郷, 境界","【自】［手札を1枚控え室に置く］ このカードが手札から舞台に置かれた時、あなたはコストを払ってよい。そうしたら、あなたは自分の山札を見て《幻想郷》のキャラを2枚まで選び、控え室に置き、その山札をシャッフルする。
【自】 このカードが手札から舞台に置かれたターン中、このカードがアタックした時、あなたは自分の山札の上から2枚を、控え室に置き、相手にＸダメージを与える。Ｘはそれらのカードのトリガーアイコンのの合計に等しい。（ダメージキャンセルは発生する）"
https://yuyu-tei.jp/sell/ws/card/thp/10056,THP/S130-T21,TD,博麗神社   （ハクレイジンジャ）,イベント,1,,0,赤色,1,,,あなたは自分の山札を見てCXを1枚まで選んで相手に見せ、手札に加え、その山札をシャッフルする。
